rtime,p1.mean,p1.sys,p1.dia,ecg.hr,spo2.ir_amp,co2.et,co2.fi,co2.rr,aa.mac_sum,t1.temp,ppv,,,
29/05/2009 8:37,28091,28127,28066,75,948,340,0,12,161,3637,157.143,,,
29/05/2009 8:37,28135,28225,27995,75,954,347,0,12,161,3637,156.386,,,Note that these values are 100x the actual value
29/05/2009 8:37,28184,28229,28100,75,969,345,0,12,161,3637,130.973,,,This is how the data came out of the monitor and so the algorithm has been
29/05/2009 8:38,28267,28309,28224,75,959,352,0,12,162,3637,54.867,,,built around these values.
29/05/2009 8:38,28312,28333,28291,75,979,342,0,12,161,3635,54.867,,,
29/05/2009 8:38,28410,28481,28356,75,1141,347,0,12,163,3635,100.529,,,This value is calculated by EDDI so ignore it
29/05/2009 8:38,28461,28496,28410,75,1060,343,0,12,160,3635,152.756,,,
29/05/2009 8:38,28411,28433,28385,75,1365,341,0,12,162,3635,117.895,,,
29/05/2009 8:38,28426,28468,28379,75,1068,341,0,12,162,3635,72.727,,,
29/05/2009 8:39,28470,28485,28456,75,1073,341,0,12,163,3635,62.687,,,
29/05/2009 8:39,28479,28505,28458,75,1071,340,0,12,164,3635,74.419,,,
29/05/2009 8:39,28499,28514,28484,75,1070,339,0,12,165,3633,71.429,,,
29/05/2009 8:39,28471,28498,28447,75,1066,337,0,12,163,3633,112,,,
29/05/2009 8:39,28571,29299,28066,75,1008,343,0,12,162,3633,111.132,,,
29/05/2009 8:39,28027,31054,26019,75,938,350,0,12,163,3631,103.385,,,
29/05/2009 8:40,27026,28331,26723,75,949,351,0,12,161,3633,165.395,,,
29/05/2009 8:40,27641,28374,26964,75,975,354,0,12,162,3631,145.484,,,
29/05/2009 8:40,27645,27733,27506,75,1052,356,0,12,162,3631,126.437,,,
29/05/2009 8:40,27998,28069,27864,75,1026,357,0,12,163,3631,67.742,,,
29/05/2009 8:40,28080,28101,28060,75,1093,355,0,12,163,3631,67.742,,,
29/05/2009 8:40,28435,28583,28321,75,1132,353,0,12,162,3631,161.326,,,
29/05/2009 8:41,29152,29442,28813,75,1166,352,0,12,163,3631,134.311,,,
29/05/2009 8:41,28801,29075,28623,75,1199,353,0,12,162,3628,186.081,,,
29/05/2009 8:41,28257,28724,27865,75,1165,356,0,12,162,3628,191.257,,,
29/05/2009 8:41,29613,31815,28193,75,1187,352,0,12,163,3628,192.793,,,
29/05/2009 8:41,28966,29892,27557,75,1205,355,0,12,163,3628,144.737,,,
29/05/2009 8:41,28798,28839,28718,75,1173,352,0,12,163,3628,159.198,,,
29/05/2009 8:42,28669,29192,28185,75,1210,354,0,12,163,3628,168.377,,,
29/05/2009 8:42,28940,29656,28548,75,1191,353,0,12,163,3628,100.885,,,
29/05/2009 8:42,28778,28797,28759,75,1198,353,0,12,164,3626,87.64,,,
29/05/2009 8:42,28733,28754,28713,75,1234,354,0,12,156,3626,92.105,,,
29/05/2009 8:42,28631,28655,28612,75,1226,348,0,12,150,3626,154.526,,,
29/05/2009 8:42,28619,28631,28510,75,1190,352,0,12,150,3626,94.737,,,
29/05/2009 8:43,28532,28565,28498,75,1302,349,0,12,152,3624,94.737,,,
29/05/2009 8:43,28460,28697,28312,75,226,348,0,12,148,3624,151.402,,,
29/05/2009 8:43,28544,28660,28436,75,157,349,0,12,146,3624,165.957,,,
29/05/2009 8:43,28500,28673,28361,75,1046,348,0,12,148,3624,92.308,,,
29/05/2009 8:43,28444,28471,28416,74,1397,348,0,12,147,3624,94.34,,,
29/05/2009 8:43,28446,28499,28398,74,1083,345,0,12,148,3621,88.968,,,
29/05/2009 8:44,28468,28488,28447,74,322,349,0,12,144,3621,40,,,
29/05/2009 8:44,28405,28435,28379,74,154,346,0,12,145,3621,40,,,
29/05/2009 8:44,28472,28487,28456,74,146,347,0,12,145,3621,72.165,,,
29/05/2009 8:44,28470,28486,28456,73,265,349,0,12,143,3621,59.091,,,
29/05/2009 8:44,28625,30634,26871,72,410,354,0,12,142,3619,165.222,,,
29/05/2009 8:44,29282,31322,27490,72,629,361,0,12,142,3619,151.049,,,
